Date : 2025-09-20 18:57:44
Directory : t:\apps\contract-ai-core
Total : 529 files,  44888 codes, 834 comments, 13479 blanks, all 59201 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\8ea4b8fc2f375db1a0765c9ff3ac2134.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\92787237d51055e7b74e229fa9d1cce0.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\942befcb308b52ee91fb14ce21610af4.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\947ff687656c5cb190a76635369b778b.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\94c99f07e0ad56498a44d5a314ddd492.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\953a642cf56f50c0addeaaaf122bd332.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\964c345e133d5b7195945c265f8d086c.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\964d74660be354a99bccf97bf108e52c.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\97489313abb85203830b614bda4c1da5.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\97f47006838e50b099aae8fcab8b9aca.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\9bf746c2dd1c5a1cb7c1eab773dfca72.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\9ee6698d2d2e543cb5857d978b090ce6.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\9f041ef804325654bbac2eae8db1c7cc.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\a07bdd4a7ece5c86900ef38cae14c2ff.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\a23fe1d48f4758f88e9353c65600937e.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\a285309b80e45dbeb097804febb56b64.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\a3064e27e4ca56e4adbfede0b43ebe6d.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\a68440b7c9ea57c39f2756e432f5cbbf.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\a789626eebaf593a8e3614eed3da6a5d.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\a79ca3f14bcb5dcbad36485e16e4732c.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\a9f2ae99a6325e05834d7a810fb10345.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\aafbb062cbae5c1797a48b64e207c7f6.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\adaa75e99476551c89efbc34730f9fa1.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\afcac2745e2a5a4d9b09d867b76696b5.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\b022e3b1a6ae53dd95ef2a31d27f8283.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\b36e1f0fa8fe5fa18c0f7060aea46c62.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\b3a9dfdfb64a5be28e0fada558c51770.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\b6d1228204165092a66aecc7f9052d3b.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\b9243433ab1055ae905f9b76b581a0b3.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\b924569c79a75b3982d40fa85cec383a.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\bba53ec3402f549dbcb885634c35c760.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\bff87a6d4f755c0998fd9d57a056dc6f.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\c16ad6c8a1e857b48e0152f695182502.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\c1e91e86c11e55f3bcaa6628b072cac4.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\c239f6f703cb5757a72b95d7460d49e1.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\c3ab627a5c6453a0ae781c7cb983389d.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\c41fbd30abb453fc88e52b64fb841c96.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\c4e33e8105f45152a79cb60b057f6f72.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\c530c856cfab537ca9797d4397828f44.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\c5ef841693d651229f98f0e474aded4b.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\c61aaa46b28f56ef9cc04a0cd2729510.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\c745847b449a5553a6d6f80dc28d7cdc.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\cacf284e84835c80894ada76b5442550.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\cb3010e876d05baea32fab3636c3e847.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\cd3838f45dd45f72915f5dfee90990a3.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\cd962986ec2b587d95b5643f57014747.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\d0d183ecf4b0535681ba60403f1f6cba.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\d2ba56b68f435226b6a2ce621af1c09f.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\d37ad1b2bd33521b9357b827e3550118.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\d53a4564761a5a7d9579a7c34cb30191.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\d63bb7aa4ec65a9ab3e04aa7059975ef.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\d795bd8578445a3c8c95c38f599e91c1.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\dcb3a71349d35a5a97578e28be9054b2.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\dd1b3f5fe34b5a6c913dccb4a65393eb.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\dd870350a0e053948618b54f1026ac86.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\e0b1265a47db5365b0a7d4e8f7099d33.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\e175fffd5def50f0b842c0a23b74dce6.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\e2427fb2470e5a4abbe6071ba7c40acb.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\e4ac2a2ce57155cf841430b8a48a477f.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\e567e14abcf35041948da8fa7178e59f.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\e68da95871915ac5be3371cbabc604ff.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\ea243910f07e59068a83cca6cccec7af.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\ed444a50dbf551cdba9793d128d06693.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\ed88b8b8750a56ccbfc0d8a696f01415.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\eec40f43082b5be7b8e4abd67439c312.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\f1ef558d82025d98a9342e70028dbe81.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\f3bb392f8a865d92bc537d1ce21f5b2d.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\f42531b34d1157e7a0ab60662d17bf4b.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\f9cc53ee2cfc5520a38593916864b771.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\fbe65b7a21a254b0b4db2986ccc787d9.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\fcc5761eafc15f889d9bb2d28a4098a7.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\fd6d2e764d4b514a8ed3f1af461e1e41.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\fda2ebf28fa8520c99b6cb5f7a88bb0f.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\fed689808614583db37db0d8aac2ff19.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\ff9cf40cbd2e5316b72f67a9ba07da2e.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\VSA\051bb5d2c633574eb9aab46bc62231ab.json              | JSON             |         20 |          0 |          1 |         21 |
| t:\apps\contract-ai-core\dataset\gold\filter\VSA\41e4b0c97a085b0d8e8fd507f3073ecb.json              | JSON             |         20 |          0 |          1 |         21 |
| t:\apps\contract-ai-core\dataset\gold\filter\VSA\444a4fc044c55c61ba354cd85fb4221d.json              | JSON             |         20 |          0 |          1 |         21 |
| t:\apps\contract-ai-core\dataset\gold\filter\VSA\4ef7763aece7534993d6e367c8266c15.json              | JSON             |         20 |          0 |          1 |         21 |
| t:\apps\contract-ai-core\dataset\gold\filter\VSA\6fc8e9e40db851799a0e16117f56841b.json              | JSON             |         20 |          0 |          1 |         21 |
| t:\apps\contract-ai-core\dataset\gold\filter\VSA\74a043b2a2c75aeca43e1782601f332a.json              | JSON             |         20 |          0 |          1 |         21 |
| t:\apps\contract-ai-core\dataset\gold\filter\VSA\804347c409985910bb29efdbfa56341b.json              | JSON             |         20 |          0 |          1 |         21 |
| t:\apps\contract-ai-core\dataset\gold\filter\VSA\8861fe7de9e15d13b5e4a39e96b3c178.json              | JSON             |         20 |          0 |          1 |         21 |
| t:\apps\contract-ai-core\dataset\gold\filter\VSA\89a7ad6b2ecc5f78b41865f81f3f62ef.json              | JSON             |         20 |          0 |          1 |         21 |
| t:\apps\contract-ai-core\dataset\gold\filter\VSA\9c980cac35fd532baa24a3815c0ccb19.json              | JSON             |         20 |          0 |          1 |         21 |
| t:\apps\contract-ai-core\dataset\gold\filter\VSA\a10531d34dd151978068623d8c289641.json              | JSON             |         20 |          0 |          1 |         21 |
| t:\apps\contract-ai-core\dataset\gold\filter\VSA\b01b15a1290b5517b5a492949e900ba0.json              | JSON             |         20 |          0 |          1 |         21 |
| t:\apps\contract-ai-core\dataset\gold\filter\VSA\b7718aa1614e5c7abc0c45a559406cc7.json              | JSON             |         20 |          0 |          1 |         21 |
| t:\apps\contract-ai-core\dataset\gold\filter\VSA\d9ec3d49782551c8b5177897dce9a3f9.json              | JSON             |         20 |          0 |          1 |         21 |
| t:\apps\contract-ai-core\dataset\gold\filter\VSA\df05c9dd9f2f5c21ae75f777815a6b62.json              | JSON             |         20 |          0 |          1 |         21 |
| t:\apps\contract-ai-core\dataset\gold\filter\VSA\ed200834edd15803a9485a07fb773e16.json              | JSON             |         20 |          0 |          1 |         21 |
| t:\apps\contract-ai-core\dataset\gold\organizer\00fb0862161354c996ba812525e0c209.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\013f592ccc84517182f4c5a3b7641149.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\025cb4065e6e551db1bfe44ef44eb83b.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\051bb5d2c633574eb9aab46bc62231ab.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\057d9f25d7635925b66afd94be03fa10.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\072e2c5f957e5bce8aea0b2f6e82b01d.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\07723bbef4c15ad594583954bfe733e5.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\07fa350f98f25961a33573aabd9da6d6.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\0b4058ba0dcd589c94e0ef1969f2fe13.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\0b6bc60d83645d25af0d17040887e126.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\0c9e47dc758752f6995bf2dc196297e1.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\1159d683a6005af8aba360d1c04cf5dc.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\11dab7c47eb55453b74c1653f1b62ce3.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\150449ff60495a6ba999893a09fd46fe.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\16800388b951529f9e35659108c2f7f1.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\1904d5968c2c5061b094ff389e501651.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\19e71952e7355a1b9430b779bef312e2.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\1a42853f17ac53b1bed201cd4f514e26.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\1ac97046876756bb8bcc28581198bdeb.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\1acc4999ab0950bd92e59bfa201013c7.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\1aecc12bda995eda92e3be9bb37281ae.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\1bf939a8b886502e87c23b970ab61d1b.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\1d7c4032c83b5569a8e06ae1044acead.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\1d944ee3ddab55fca2012dbe7e8a32a7.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\215f6054a66b53a99193d9ee5d1f8eae.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\2241af180696534ba7db80c610ae5aa4.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\2357411a95215d8daa1c46f22f66d5d7.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\240b8bed8e9a5512b289dbc1a19f4297.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\24eca2091b785c938bddc1cbed26748d.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\24ee6bc974f45415b122da9c85a34c24.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\26229cc9defb5f40a1666c9aaaaaa02d.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\287fb7a2e6395439aedd7834af1913ef.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\28883c0bf0a658a6b3f8b741a18178a7.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\2b142bc050975d54984e367462b2fffd.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\2d390fb1345b518f8ce7bef938e373de.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\323d3c0abdc656b2a4e43b6b23966897.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\334088f9de685837a7525f4b2175e3e4.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\347f78b02fe15cdabecb546be184c964.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\359fd50d13c6566690d0cc51a332dec8.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\35bbecfce1f85bd4b9f7ac211f7ad902.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\36a31e571bec5cdfb2a270c772619d4e.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\36eed4189a145f6b9813868c78e0b921.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\3aa24fc8e5e95724b53d37347cd28c50.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\3ab55b7529af50e4a9fb191f7549ddd6.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\3ab9f5646fdc56eaa53dfdc67849c114.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\3c0883eac8d85c4dad32e4b06ccf7388.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\3cc4c1e23c5d52adbbc6baae97fadd4a.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\417c9bbfa52f54eca5eff22887e3f941.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\41e4b0c97a085b0d8e8fd507f3073ecb.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\432762f78c425f1fbac75b88fd552975.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\437d100c1df8545c8e59874b6f0f7c1a.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\4389f961999f510ab17c54b7cf352e8a.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\444a4fc044c55c61ba354cd85fb4221d.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\44b1a05087fa5df2aefd185b306464c7.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\44bfc10183425119bf507083874e5756.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\46887bb017185e98a1c0fbc609d58a81.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\48f4b47f6dc853c8be04705dda4c3264.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\4986adbaccdf53b8b2b59669fa5f9210.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\498a0e40db6d54a6a47d666be570f271.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\4b5d1fdfb11450aaab7654927eb24d06.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\4c80ac9225d056f4b4382ef9252da8ad.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\4ca1095bd9d454a88d3180594f07154d.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\4e875e5632ca5d02883692ec03d0cc6c.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\4ef7763aece7534993d6e367c8266c15.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\4f373aa105575bc19f67ea9efea926b6.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\4f8a4483b2dc56f3a25523cda4634b43.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\5121352e4b375dad98f145f938a196cb.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\516786fe020d59eba1b3e7f65e727e38.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\5273ace62a7a5e83b8b7bcc3e335ab37.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\5307f3f60d8a579bb291345dba73e732.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\552e263116f358f089943a0354bc3008.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\5646f6cd2d1d585d979a6ba89d9d434a.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\57eb626d75245ce0abd75863e5000b9e.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\5a5adf7517955ea6bd8fad0b01280b43.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\5b0d97bba758591eb4d64a958be68293.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\5b3b418331ba5994a23e43d507dcee0b.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\5de97e0b07f4548d8729195fea39d41d.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\5fc7cb9313d15511834a4ffd25af3b67.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\61144fd96fa95672bf5e800a986c8722.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\61158cb609b45c6caf15f34b7d2ff735.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\6182f1b146f35141ade16b62b13fac99.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\643d285979305f4eabdae10d08fe70f7.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\6554eb3664ee501dad601757f9ac50e2.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\66317a701bd35483a91593879e761562.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\66491d42b87858e0bb0122ddc92bcfef.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\6a83b9c4a62052f8989cd748dca0ab97.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\6b01ccdd3c4b5afa9d7622fb0be50fa1.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\6bb2b85d54dd5fceb3f642a4c84a167e.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\6fc8e9e40db851799a0e16117f56841b.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\7139cc85a8965b8bb389aaaf31a6ed6b.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\7351e44cc3665a36805b5bf4a5d76a80.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\74a043b2a2c75aeca43e1782601f332a.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\7c015d324e4a515287d58dfcbbab8201.json               | JSON             |         63 |          0 |          1 |         64 |
| t:\apps\contract-ai-core\dataset\gold\organizer\7c187d338ffd5feb954d2f41c3d2f5a6.json               | JSON             |         63 |          0 |          1 |         64 |
